"TagCode"	"TagRateType"	"TR"
"031676"	"MS"	0.986000367069764
"031677"	"NonMS"	0.926644625615208
"031677"	"MS"	0.926644625615208
"031678"	"NonMS"	0.926644625615208
"031678"	"MS"	0.926644625615208
"031690"	"NonMS"	0.989487616592519
"031690"	"MS"	0.989487616592519
"031691"	"NonMS"	0.989487616592519
"031691"	"MS"	0.989487616592519
"031692"	"NonMS"	0.989487616592519
"031692"	"MS"	0.989487616592519
"033001"	"NonMS"	0.968002177732683
"033001"	"MS"	0.968002177732683
"033002"	"NonMS"	0.984501714908485
"033002"	"MS"	0.984501714908485
"033003"	"NonMS"	0.984501714908485
"033003"	"MS"	0.984501714908485
"034545"	"NonMS"	0.975109778301382
"034545"	"MS"	0.975109778301382
"034546"	"NonMS"	0.984501714908485
"034546"	"MS"	0.984501714908485
"034547"	"NonMS"	0.984501714908485
"034547"	"MS"	0.984501714908485
"036258"	"NonMS"	0.968002177732683
"036258"	"MS"	0.968002177732683
"036259"	"NonMS"	0.968002177732683
"036259"	"MS"	0.968002177732683
"039901"	"NonMS"	0.975109778301382
"039901"	"MS"	0.975109778301382
"039902"	"NonMS"	0.975109778301382
"039902"	"MS"	0.975109778301382
"039903"	"NonMS"	0.975109778301382
"039903"	"MS"	0.975109778301382
"039904"	"NonMS"	0.99
"039904"	"MS"	0.99
"039905"	"NonMS"	0.99
"039905"	"MS"	0.99
"039906"	"NonMS"	0.330210470702429
"039906"	"MS"	0.493060587992478
"039907"	"NonMS"	0.330210470702429
"039907"	"MS"	0.493060587992478
"0401021306"	"NonMS"	0.0259735040788716
"0401021306"	"MS"	0.995039343140609
"0404040707"	"NonMS"	0.188727272727273
"0404040707"	"MS"	0.991988613257422
"0404040708"	"NonMS"	0.0950568262947312
"0404040708"	"MS"	0.991978948703316
"0404040801"	"NonMS"	0.188727272727273
"0404040801"	"MS"	0.991988613257422
"0404040802"	"NonMS"	0.0950568262947312
"0404040802"	"MS"	0.991978948703316
"0405020907"	"NonMS"	0.00467184023622403
"0405020907"	"MS"	0.918350848827809
"0405020908"	"NonMS"	0.0283452342220472
"0405020908"	"MS"	1
"0405030902"	"NonMS"	0.9830220713073
"0405030902"	"MS"	0.9830220713073
"0405040705"	"NonMS"	0.51657223796034
"0405040705"	"MS"	0.997993250022804
"040992"	"NonMS"	0.92731217792243
"040992"	"MS"	0.92731217792243
"041020"	"NonMS"	0.866750925340796
"041020"	"MS"	0.866750925340796
"041026"	"NonMS"	0.784547481457888
"041026"	"MS"	0.784547481457888
"041030"	"NonMS"	1
"041030"	"MS"	1
"041535"	"NonMS"	0.92731217792243
"041535"	"MS"	0.92731217792243
